Film.Ratings.Link,film.title,Year,runtime,Director,Language,country,half.star,one.star,one.half.star,two.star,two.half.star,three.star,three.half.star,four.star,four.half.star,five.star,AvgRating
https://letterboxd.com/csi/film/strike-commando/rating-histogram/,Strike Commando,1987,104,Bruno Mattei,Italian,Italy,15,45,40,77,109,207,130,139,26,27,2.973006135
https://letterboxd.com/csi/film/strike-up-the-band/rating-histogram/,Strike Up the Band,1940,120,Busby Berkeley,English,USA,2,7,7,29,71,210,130,99,12,30,3.247906198
https://letterboxd.com/csi/film/striking-distance/rating-histogram/,Striking Distance,1993,102,Rowdy Herrington,English,USA,54,244,321,1050,1085,1419,525,214,25,41,2.577942949
https://letterboxd.com/csi/film/strip-nude-for-your-killer/rating-histogram/,Strip Nude for Your Killer,1975,98,Andrea Bianchi,Italian,Italy,26,51,77,272,379,758,422,255,44,45,2.947617003
https://letterboxd.com/csi/film/stripes/rating-histogram/,Stripes,1981,106,Ivan Reitman,English,USA,77,285,428,1693,2500,7079,5449,4195,745,863,3.232285322
https://letterboxd.com/csi/film/stripped-to-kill/rating-histogram/,Stripped to Kill,1987,88,Katt Shea,English,USA,24,75,115,262,284,426,171,67,11,13,2.591505525
https://letterboxd.com/csi/film/striptease/rating-histogram/,Striptease,1996,115,Andrew Bergman,English,USA,442,1364,1198,2511,1264,1322,405,250,25,110,2.093127882
https://letterboxd.com/csi/film/stroker-ace/rating-histogram/,Stroker Ace,1983,96,Hal Needham,English,USA,31,93,95,210,134,144,50,25,4,8,2.230478589
https://letterboxd.com/csi/film/stronger-than-the-world-the-story-of-jose-aldo/rating-histogram/,Stronger Than The World: The Story of José Aldo,2016,107,Afonso Poyart,Portuguese,Brazil,19,45,48,104,155,338,199,193,33,47,3.038103302
https://letterboxd.com/csi/film/struck-by-lightning/rating-histogram/,Struck by Lightning,2012,90,Brian Dannelly,English,USA,153,241,230,646,615,761,403,289,57,115,2.613390313
https://letterboxd.com/csi/film/stuart-little-2/rating-histogram/,Stuart Little 2,2002,78,Rob Minkoff,English,USA,975,2762,2755,7646,5409,6617,1842,1535,186,802,2.406940941
https://letterboxd.com/csi/film/stuart-little-3-call-of-the-wild/rating-histogram/,Stuart Little 3: Call of the Wild,2005,72,Audu Paden,English,USA,605,1117,609,810,398,427,91,93,12,84,1.741285916
https://letterboxd.com/csi/film/stuart-little/rating-histogram/,Stuart Little,1999,84,Rob Minkoff,English,Germany,1777,4436,4064,15614,15222,28198,9053,7459,790,3066,2.739816456
https://letterboxd.com/csi/film/stuart-saves-his-family/rating-histogram/,Stuart Saves His Family,1995,95,Harold Ramis,English,Germany,42,90,72,176,148,174,81,63,7,20,2.439862543
https://letterboxd.com/csi/film/stuber/rating-histogram/,Stuber,2019,93,Michael Dowse,English,USA,534,1232,1496,4311,5476,8601,4004,1885,228,374,2.711630717
https://letterboxd.com/csi/film/stuck-2007/rating-histogram/,Stuck,2007,85,Stuart Gordon,English,Canada,16,43,59,180,274,708,712,451,76,51,3.191245136
https://letterboxd.com/csi/film/stuck-apart/rating-histogram/,Stuck Apart,2021,96,Durul Taylan,Turkish,Turkey,129,313,383,1148,1199,1546,750,435,61,101,2.64270404
https://letterboxd.com/csi/film/stuck-in-the-suburbs/rating-histogram/,Stuck in the Suburbs,2004,76,Savage Steve Holland,English,USA,163,372,389,884,704,1120,383,388,65,250,2.619754133
https://letterboxd.com/csi/film/stuck-on-you/rating-histogram/,Stuck on You,2003,119,Bobby Farrelly,English,USA,354,896,896,2390,2184,2460,1053,580,100,138,2.459732151
https://letterboxd.com/csi/film/stuck-together/rating-histogram/,Stuck Together,2021,126,Dany Boon,French,Belgium,97,137,117,227,236,325,161,130,21,48,2.533689126
https://letterboxd.com/csi/film/student-bodies/rating-histogram/,Student Bodies,1981,86,Mickey Rose,English,USA,56,148,163,386,432,695,400,258,46,68,2.766402715
https://letterboxd.com/csi/film/student-of-the-year-2/rating-histogram/,Student of the Year 2,2019,146,Punit Malhotra,Hindi,India,348,166,114,115,54,79,20,21,7,15,1.462726305
https://letterboxd.com/csi/film/student-of-the-year/rating-histogram/,Student of the Year,2012,146,Karan Johar,Hindi,India,291,390,242,544,390,579,222,170,32,79,2.277815584
https://letterboxd.com/csi/film/stung/rating-histogram/,Stung,2015,87,Benni Diez,English,Germany,42,130,143,404,459,689,290,101,16,20,2.606364429
https://letterboxd.com/csi/film/subconscious-cruelty/rating-histogram/,Subconscious Cruelty,2000,92,Karim Hussain,English,Canada,51,46,54,120,100,178,110,142,43,51,2.880446927
https://letterboxd.com/csi/film/subdued/rating-histogram/,Subdued,2017,90,Hamid Nematollah,,Persian (Farsi),122,121,85,175,109,151,75,60,15,19,2.199570815
https://letterboxd.com/csi/film/submergence/rating-histogram/,Submergence,2017,112,Wim Wenders,English,USA,79,267,283,692,528,570,265,173,28,45,2.428498294
https://letterboxd.com/csi/film/subspecies/rating-histogram/,Subspecies,1991,83,Ted Nicolaou,English,USA,17,81,95,268,354,556,306,190,20,59,2.845323741
https://letterboxd.com/csi/film/suburban-commando/rating-histogram/,Suburban Commando,1991,88,Burt Kennedy,English,USA,191,495,434,728,445,457,132,90,17,49,2.081797235
https://letterboxd.com/csi/film/suburban-girl/rating-histogram/,Suburban Girl,2007,97,Marc Klein,English,USA,36,83,65,160,119,110,48,21,2,13,2.240487062
https://letterboxd.com/csi/film/suburban-gothic/rating-histogram/,Suburban Gothic,2014,90,Richard Bates Jr.,English,USA,105,244,251,764,832,1376,891,687,141,283,2.928776462
